architecture,run_idx,seed_run,jacobian_norm,cert_rate
text_only,48,42048,0.21213191747665405,1.0
text_only,49,42049,0.2332199513912201,1.0
latent_only,0,42000,2.3062520027160645,0.0
latent_only,1,42001,2.360534191131592,0.0
latent_only,2,42002,2.3206610679626465,0.0
latent_only,3,42003,2.3000118732452393,0.0
latent_only,4,42004,2.3644142150878906,0.0
latent_only,5,42005,2.378129005432129,0.0
latent_only,6,42006,2.38356351852417,0.0
latent_only,7,42007,2.274014711380005,0.0
latent_only,8,42008,2.3618319034576416,0.0
latent_only,9,42009,2.366770029067993,0.0
latent_only,10,42010,2.3257265090942383,0.0
latent_only,11,42011,2.3532683849334717,0.0
latent_only,12,42012,2.3158226013183594,0.0
latent_only,13,42013,2.365760564804077,0.0
latent_only,14,42014,2.325120687484741,0.0
latent_only,15,42015,2.279874563217163,0.0
latent_only,16,42016,2.3075764179229736,0.0
latent_only,17,42017,2.3356761932373047,0.0
latent_only,18,42018,2.276664972305298,0.0
latent_only,19,42019,2.3487131595611572,0.0
latent_only,20,42020,2.3330187797546387,0.0
latent_only,21,42021,2.3438467979431152,0.0
latent_only,22,42022,2.3915183544158936,0.0
latent_only,23,42023,2.3059794902801514,0.0
latent_only,24,42024,2.3479115962982178,0.0
latent_only,25,42025,2.3915493488311768,0.0
latent_only,26,42026,2.30553936958313,0.0
latent_only,27,42027,2.316956043243408,0.0
latent_only,28,42028,2.388686180114746,0.0
latent_only,29,42029,2.315011739730835,0.0
latent_only,30,42030,2.2934348583221436,0.0
latent_only,31,42031,2.2344918251037598,0.0
latent_only,32,42032,2.3618996143341064,0.0
latent_only,33,42033,2.3592681884765625,0.0
latent_only,34,42034,2.324087142944336,0.0
latent_only,35,42035,2.283764362335205,0.0
latent_only,36,42036,2.498234272003174,0.0
latent_only,37,42037,2.34222412109375,0.0
latent_only,38,42038,2.3099751472473145,0.0
latent_only,39,42039,2.346327781677246,0.0
latent_only,40,42040,2.3337936401367188,0.0
