canal,run_idx,round_idx,accuracy,seed_run
latent,6,5,1.0,48
latent,6,6,1.0,48
latent,6,7,1.0,48
latent,6,8,1.0,48
latent,6,9,1.0,48
latent,6,10,1.0,48
latent,6,11,1.0,48
latent,6,12,1.0,48
latent,6,13,1.0,48
latent,6,14,1.0,48
latent,6,15,1.0,48
latent,6,16,1.0,48
latent,6,17,1.0,48
latent,6,18,1.0,48
latent,6,19,1.0,48
latent,6,20,1.0,48
latent,6,21,1.0,48
latent,6,22,1.0,48
latent,6,23,1.0,48
latent,6,24,1.0,48
latent,6,25,1.0,48
latent,6,26,1.0,48
latent,6,27,1.0,48
latent,6,28,1.0,48
latent,6,29,1.0,48
latent,6,30,1.0,48
latent,6,31,1.0,48
latent,6,32,1.0,48
latent,6,33,1.0,48
latent,6,34,1.0,48
latent,6,35,1.0,48
latent,6,36,1.0,48
latent,6,37,1.0,48
latent,6,38,1.0,48
latent,6,39,1.0,48
latent,6,40,1.0,48
latent,6,41,1.0,48
latent,6,42,1.0,48
latent,6,43,1.0,48
latent,6,44,1.0,48
latent,6,45,1.0,48
latent,6,46,1.0,48
latent,6,47,1.0,48
latent,6,48,1.0,48
latent,6,49,1.0,48
latent,7,0,1.0,49
latent,7,1,1.0,49
latent,7,2,1.0,49
latent,7,3,1.0,49
latent,7,4,1.0,49
latent,7,5,1.0,49
latent,7,6,1.0,49
latent,7,7,1.0,49
latent,7,8,1.0,49
latent,7,9,1.0,49
latent,7,10,1.0,49
latent,7,11,1.0,49
latent,7,12,1.0,49
latent,7,13,1.0,49
latent,7,14,1.0,49
latent,7,15,1.0,49
latent,7,16,1.0,49
latent,7,17,1.0,49
latent,7,18,1.0,49
latent,7,19,1.0,49
latent,7,20,1.0,49
latent,7,21,1.0,49
latent,7,22,1.0,49
latent,7,23,1.0,49
latent,7,24,1.0,49
latent,7,25,1.0,49
latent,7,26,1.0,49
latent,7,27,1.0,49
latent,7,28,1.0,49
latent,7,29,1.0,49
latent,7,30,1.0,49
latent,7,31,1.0,49
latent,7,32,1.0,49
latent,7,33,1.0,49
latent,7,34,1.0,49
latent,7,35,1.0,49
latent,7,36,1.0,49
latent,7,37,1.0,49
latent,7,38,1.0,49
latent,7,39,1.0,49
latent,7,40,1.0,49
latent,7,41,1.0,49
latent,7,42,1.0,49
latent,7,43,1.0,49
latent,7,44,1.0,49
latent,7,45,1.0,49
latent,7,46,1.0,49
latent,7,47,1.0,49
latent,7,48,1.0,49
latent,7,49,1.0,49
latent,8,0,0.0,50
latent,8,1,1.0,50
latent,8,2,1.0,50
latent,8,3,1.0,50
latent,8,4,1.0,50
latent,8,5,1.0,50
latent,8,6,1.0,50
latent,8,7,1.0,50
latent,8,8,1.0,50
latent,8,9,1.0,50
latent,8,10,1.0,50
latent,8,11,1.0,50
latent,8,12,1.0,50
latent,8,13,1.0,50
latent,8,14,1.0,50
latent,8,15,1.0,50
latent,8,16,1.0,50
latent,8,17,1.0,50
latent,8,18,1.0,50
latent,8,19,1.0,50
latent,8,20,1.0,50
latent,8,21,1.0,50
latent,8,22,1.0,50
latent,8,23,1.0,50
latent,8,24,1.0,50
latent,8,25,1.0,50
latent,8,26,1.0,50
latent,8,27,1.0,50
latent,8,28,1.0,50
latent,8,29,1.0,50
latent,8,30,1.0,50
latent,8,31,1.0,50
latent,8,32,1.0,50
latent,8,33,1.0,50
latent,8,34,1.0,50
latent,8,35,1.0,50
latent,8,36,1.0,50
latent,8,37,1.0,50
latent,8,38,1.0,50
latent,8,39,1.0,50
latent,8,40,1.0,50
latent,8,41,1.0,50
latent,8,42,1.0,50
latent,8,43,1.0,50
latent,8,44,1.0,50
latent,8,45,1.0,50
latent,8,46,1.0,50
latent,8,47,1.0,50
latent,8,48,1.0,50
latent,8,49,1.0,50
latent,9,0,1.0,51
latent,9,1,1.0,51
latent,9,2,1.0,51
latent,9,3,1.0,51
latent,9,4,1.0,51
latent,9,5,1.0,51
latent,9,6,1.0,51
latent,9,7,1.0,51
latent,9,8,1.0,51
latent,9,9,1.0,51
latent,9,10,1.0,51
latent,9,11,1.0,51
latent,9,12,1.0,51
latent,9,13,1.0,51
latent,9,14,1.0,51
latent,9,15,1.0,51
latent,9,16,1.0,51
latent,9,17,1.0,51
latent,9,18,1.0,51
latent,9,19,1.0,51
latent,9,20,1.0,51
latent,9,21,1.0,51
latent,9,22,1.0,51
latent,9,23,1.0,51
latent,9,24,1.0,51
latent,9,25,1.0,51
latent,9,26,1.0,51
latent,9,27,1.0,51
latent,9,28,1.0,51
latent,9,29,1.0,51
latent,9,30,1.0,51
latent,9,31,1.0,51
latent,9,32,1.0,51
latent,9,33,1.0,51
latent,9,34,1.0,51
latent,9,35,1.0,51
latent,9,36,1.0,51
latent,9,37,1.0,51
latent,9,38,1.0,51
latent,9,39,1.0,51
latent,9,40,1.0,51
latent,9,41,1.0,51
latent,9,42,1.0,51
latent,9,43,1.0,51
latent,9,44,1.0,51
latent,9,45,1.0,51
latent,9,46,1.0,51
latent,9,47,1.0,51
latent,9,48,1.0,51
latent,9,49,1.0,51
