conflict_level,entropy_level,run_idx,seed_run,m_vide_emetteur,m_vide_recepteur
0.5,2.0,5,42005,0.5,0.5096407759189606
0.5,2.0,6,42006,0.5,0.4933802545070648
0.5,2.0,7,42007,0.5,0.5036474025249481
0.5,2.0,8,42008,0.5,0.5023915195465087
0.5,2.0,9,42009,0.5,0.4921629774570465
0.5,2.0,10,42010,0.5,0.507544412612915
0.5,2.0,11,42011,0.5,0.49409720063209533
0.5,2.0,12,42012,0.5,0.5067111885547638
0.5,2.0,13,42013,0.5,0.5048569405078888
0.5,2.0,14,42014,0.5,0.5010196566581726
0.5,2.0,15,42015,0.5,0.501583354473114
0.5,2.0,16,42016,0.5,0.5067698073387146
0.5,2.0,17,42017,0.5,0.5029500865936279
0.5,2.0,18,42018,0.5,0.4968855011463165
0.5,2.0,19,42019,0.5,0.5080224609375
0.5,2.0,20,42020,0.5,0.49559826612472535
0.5,2.0,21,42021,0.5,0.5035249805450439
0.5,2.0,22,42022,0.5,0.5021584308147431
0.5,2.0,23,42023,0.5,0.49559680819511415
0.5,2.0,24,42024,0.5,0.502653203010559
0.5,2.0,25,42025,0.5,0.5019131684303284
0.5,2.0,26,42026,0.5,0.4931552004814148
0.5,2.0,27,42027,0.5,0.490853054523468
0.5,2.0,28,42028,0.5,0.4938099849224091
0.5,2.0,29,42029,0.5,0.5019872176647187
0.5,2.0,30,42030,0.5,0.506236537694931
0.5,2.0,31,42031,0.5,0.4990610587596893
0.5,2.0,32,42032,0.5,0.4972879195213318
0.5,2.0,33,42033,0.5,0.49984785795211795
0.5,2.0,34,42034,0.5,0.499172625541687
0.5,2.0,35,42035,0.5,0.509659036397934
0.5,2.0,36,42036,0.5,0.5001458811759949
0.5,2.0,37,42037,0.5,0.5066729283332825
0.5,2.0,38,42038,0.5,0.5057271373271942
0.5,2.0,39,42039,0.5,0.5002638232707978
0.5,2.0,40,42040,0.5,0.5085501527786255
0.5,2.0,41,42041,0.5,0.4992431831359863
0.5,2.0,42,42042,0.5,0.5030423927307129
0.5,2.0,43,42043,0.5,0.5080229318141938
0.5,2.0,44,42044,0.5,0.4967888116836548
0.5,2.0,45,42045,0.5,0.5035642397403717
0.5,2.0,46,42046,0.5,0.49445184111595153
0.5,2.0,47,42047,0.5,0.4953044843673706
0.5,2.0,48,42048,0.5,0.4990419864654541
0.5,2.0,49,42049,0.5,0.49070029020309447
0.8,0.2,0,42000,0.8,0.8086944854259491
0.8,0.2,1,42001,0.8,0.8025387990474702
0.8,0.2,2,42002,0.8,0.80486518740654
0.8,0.2,3,42003,0.8,0.7927804863452912
0.8,0.2,4,42004,0.8,0.8023815035820008
0.8,0.2,5,42005,0.8,0.8096407759189607
0.8,0.2,6,42006,0.8,0.7933802545070648
0.8,0.2,7,42007,0.8,0.8036474025249482
0.8,0.2,8,42008,0.8,0.8023915195465088
0.8,0.2,9,42009,0.8,0.7921629774570466
0.8,0.2,10,42010,0.8,0.8075444126129151
0.8,0.2,11,42011,0.8,0.7940972006320954
0.8,0.2,12,42012,0.8,0.8067111885547639
0.8,0.2,13,42013,0.8,0.8048569405078888
0.8,0.2,14,42014,0.8,0.8010196566581727
0.8,0.2,15,42015,0.8,0.801583354473114
0.8,0.2,16,42016,0.8,0.8067698073387146
0.8,0.2,17,42017,0.8,0.802950086593628
0.8,0.2,18,42018,0.8,0.7968855011463166
0.8,0.2,19,42019,0.8,0.8080224609375001
0.8,0.2,20,42020,0.8,0.7955982661247254
0.8,0.2,21,42021,0.8,0.803524980545044
0.8,0.2,22,42022,0.8,0.8021584308147431
0.8,0.2,23,42023,0.8,0.7955968081951141
0.8,0.2,24,42024,0.8,0.8026532030105591
0.8,0.2,25,42025,0.8,0.8019131684303284
0.8,0.2,26,42026,0.8,0.7931552004814149
0.8,0.2,27,42027,0.8,0.7908530545234681
0.8,0.2,28,42028,0.8,0.7938099849224091
0.8,0.2,29,42029,0.8,0.8019872176647187
