entropy_level,conflict_level,run_idx,seed_run,jacobian_norm,output_entropy,m_vide
<<<<<<< HEAD
0.2,0.5,6,42006,0.45005881786346436,0.9893006069858556,0.5
0.2,0.5,7,42007,0.0068622310645878315,0.7061366097794594,0.5
0.2,0.5,8,42008,0.49920591711997986,1.1501235676859678,0.5
0.2,0.5,9,42009,0.42747390270233154,1.4928668212100689,0.5
0.5,0.5,0,42000,0.31442052125930786,1.15795213203208,0.5
0.5,0.5,1,42001,0.12340722978115082,1.3619831156698963,0.5
0.5,0.5,2,42002,0.4622732400894165,1.5602246819594563,0.5
0.5,0.5,3,42003,0.4403683841228485,1.4687231634273288,0.5
0.5,0.5,4,42004,0.5215803384780884,1.124341463211399,0.5
0.5,0.5,5,42005,0.46603313088417053,0.8127177432265302,0.5
0.5,0.5,6,42006,0.5452483296394348,1.342164541629081,0.5
0.5,0.5,7,42007,0.27849361300468445,1.191860511209264,0.5
0.5,0.5,8,42008,0.4148947298526764,1.6197618118197266,0.5
0.5,0.5,9,42009,0.2814532220363617,1.7117453473589217,0.5
1.0,0.5,0,42000,0.36599570512771606,1.742556178963251,0.5
1.0,0.5,1,42001,0.40218478441238403,1.6981462115955297,0.5
1.0,0.5,2,42002,0.27745306491851807,1.850195851249802,0.5
1.0,0.5,3,42003,0.2992839813232422,1.8470315946566798,0.5
1.0,0.5,4,42004,0.4007643461227417,1.6072130219197391,0.5
1.0,0.5,5,42005,0.4987965226173401,1.4202763066883326,0.5
1.0,0.5,6,42006,0.370632529258728,1.73197354340813,0.5
1.0,0.5,7,42007,0.3524790108203888,1.7760239447819117,0.5
1.0,0.5,8,42008,0.2604282796382904,1.8936838762479449,0.5
1.0,0.5,9,42009,0.1996624767780304,1.863771424965677,0.5
2.0,0.5,0,42000,0.22102798521518707,1.9717837470327215,0.5
2.0,0.5,1,42001,0.3185642957687378,1.9383342322489159,0.5
2.0,0.5,2,42002,0.17405082285404205,1.9855661553649402,0.5
2.0,0.5,3,42003,0.1829168200492859,1.993997281604222,0.5
2.0,0.5,4,42004,0.23458430171012878,1.9325227209017726,0.5
2.0,0.5,5,42005,0.3024863302707672,1.889684592972254,0.5
2.0,0.5,6,42006,0.21920184791088104,1.9498967289948956,0.5
2.0,0.5,7,42007,0.21513406932353973,1.976961814700255,0.5
2.0,0.5,8,42008,0.1695328950881958,1.9994948483902184,0.5
2.0,0.5,9,42009,0.14748671650886536,1.9770171994245056,0.5
0.05,0.8,0,42000,1.7091295045901234e-10,0.5004024557635776,0.8
0.05,0.8,1,42001,6.058553503584521e-15,0.517321947983603,0.8
0.05,0.8,2,42002,0.6963182687759399,0.6390370113639274,0.8
0.05,0.8,3,42003,6.403603765647858e-05,0.5004564927915389,0.8
0.05,0.8,4,42004,0.0009383716387674212,0.5010183387890302,0.8
0.05,0.8,5,42005,3.1773981845617527e-06,0.5004024557743794,0.8
0.05,0.8,6,42006,0.010126146487891674,0.5050918906191639,0.8
0.05,0.8,7,42007,5.708502767709511e-11,0.5004024557711393,0.8
0.05,0.8,8,42008,0.030709875747561455,0.6384528913281715,0.8
0.05,0.8,9,42009,0.13421295583248138,0.5546958145916826,0.8
0.1,0.8,0,42000,2.7799867893918417e-05,0.5004343855712217,0.8
0.1,0.8,1,42001,1.153460829073083e-07,0.5755519489994497,0.8
0.1,0.8,2,42002,0.6954163312911987,0.6410377058197849,0.8
0.1,0.8,3,42003,0.01364029012620449,0.5073499208411464,0.8
0.1,0.8,4,42004,0.048957303166389465,0.518576074906796,0.8
0.1,0.8,5,42005,0.0030491235665977,0.5004024566506398,0.8
0.1,0.8,6,42006,0.1529214233160019,0.5447340525496954,0.8
0.1,0.8,7,42007,1.386820076731965e-05,0.5004169033380703,0.8
0.1,0.8,8,42008,0.26998651027679443,0.6413196201067182,0.8
0.1,0.8,9,42009,0.4100220501422882,0.6977394236765991,0.8
0.2,0.8,0,42000,0.010900846682488918,0.5077608496777355,0.8
0.2,0.8,1,42001,0.0007135862833820283,0.648533953874419,0.8
0.2,0.8,2,42002,0.6675480604171753,0.6781679038507301,0.8
0.2,0.8,3,42003,0.18371368944644928,0.5767649982367287,0.8
0.2,0.8,4,42004,0.29044508934020996,0.5739153920637929,0.8
0.2,0.8,5,42005,0.08885139226913452,0.5005245017584338,0.8
0.2,0.8,6,42006,0.45005881786346436,0.6188637954897152,0.8
0.2,0.8,7,42007,0.0068622310645878315,0.5055981966020637,0.8
0.2,0.8,8,42008,0.49920591711997986,0.6831929784890043,0.8
0.2,0.8,9,42009,0.42747390270233154,0.8202902797982369,0.8
0.5,0.8,0,42000,0.31442052125930786,0.6863244041270418,0.8
0.5,0.8,1,42001,0.12340722978115082,0.7679367975821684,0.8
0.5,0.8,2,42002,0.4622732400894165,0.8472334240979922,0.8
0.5,0.8,3,42003,0.4403683841228485,0.8106328166851409,0.8
0.5,0.8,4,42004,0.5215803384780884,0.6728801365987693,0.8
0.5,0.8,5,42005,0.46603313088417053,0.5482306486048218,0.8
0.5,0.8,6,42006,0.5452483296394348,0.7600093679658421,0.8
0.5,0.8,7,42007,0.27849361300468445,0.6998877557979151,0.8
0.5,0.8,8,42008,0.4148947298526764,0.8710482760421001,0.8
0.5,0.8,9,42009,0.2814532220363617,0.9078416902577784,0.8
1.0,0.8,0,42000,0.36599570512771606,0.9201660228995099,0.8
1.0,0.8,1,42001,0.40218478441238403,0.9024020359524217,0.8
1.0,0.8,2,42002,0.27745306491851807,0.9632218918141304,0.8
1.0,0.8,3,42003,0.2992839813232422,0.9619561891768817,0.8
1.0,0.8,4,42004,0.4007643461227417,0.866028760082105,0.8
1.0,0.8,5,42005,0.4987965226173401,0.7912540739895426,0.8
1.0,0.8,6,42006,0.370632529258728,0.9159329686774617,0.8
1.0,0.8,7,42007,0.3524790108203888,0.9335531292269742,0.8
1.0,0.8,8,42008,0.2604282796382904,0.9806171018133877,0.8
1.0,0.8,9,42009,0.1996624767780304,0.9686521213004803,0.8
2.0,0.8,0,42000,0.22102798521518707,1.0118570501272983,0.8
2.0,0.8,1,42001,0.3185642957687378,0.998477244213776,0.8
2.0,0.8,2,42002,0.17405082285404205,1.0173700134601857,0.8
2.0,0.8,3,42003,0.1829168200492859,1.0207424639558982,0.8
2.0,0.8,4,42004,0.23458430171012878,0.9961526396749186,0.8
2.0,0.8,5,42005,0.3024863302707672,0.9790173885031112,0.8
2.0,0.8,6,42006,0.21920184791088104,1.0031022429121679,0.8
2.0,0.8,7,42007,0.21513406932353973,1.0139282771943117,0.8
2.0,0.8,8,42008,0.1695328950881958,1.0229414906702967,0.8
2.0,0.8,9,42009,0.14748671650886536,1.013950431084012,0.8
=======
0.05,0.0,0,42000,0.13329270482063293,2.7227885829527003,0.0
0.05,0.0,1,42001,0.14565671980381012,2.7347125413550284,0.0
0.05,0.2,0,42000,0.13329270482063293,2.7227885829527003,0.2
0.05,0.2,1,42001,0.14565671980381012,2.7347125413550284,0.2
0.05,0.5,0,42000,0.13329270482063293,2.7227885829527003,0.5
0.05,0.5,1,42001,0.14565671980381012,2.7347125413550284,0.5
0.05,0.8,0,42000,0.13329270482063293,2.7227885829527003,0.8
0.05,0.8,1,42001,0.14565671980381012,2.7347125413550284,0.8
