canal,entropy_level,run_idx,seed_run,jacobian_norm,output_entropy,duration_ms
latent,0.1,1,42001,2.7971138954162598,3.6444008350372314,105.91626167297363
latent,0.1,2,42002,2.7813401222229004,3.7397961616516113,107.05399513244629
latent,0.1,3,42003,2.764589786529541,3.7199466228485107,108.79874229431152
latent,0.1,4,42004,2.7875306606292725,3.6181375980377197,106.41741752624512
latent,0.1,5,42005,2.831200122833252,3.6177897453308105,108.63947868347168
latent,0.1,6,42006,2.902482271194458,3.6898746490478516,112.55908012390137
latent,0.1,7,42007,2.7622992992401123,3.648611545562744,109.22908782958984
latent,0.1,8,42008,2.830512762069702,3.663468837738037,104.07781600952148
latent,0.1,9,42009,2.81587553024292,3.6263740062713623,102.01573371887207
latent,0.2,0,42000,2.8268496990203857,3.697924852371216,105.08537292480469
latent,0.2,1,42001,2.795983076095581,3.643786907196045,103.62029075622559
latent,0.2,2,42002,2.797093152999878,3.7403080463409424,105.09109497070312
latent,0.2,3,42003,2.7527077198028564,3.7199437618255615,105.96871376037598
latent,0.2,4,42004,2.8003385066986084,3.618046522140503,105.99398612976074
latent,0.2,5,42005,2.863560914993286,3.6182377338409424,106.73999786376953
latent,0.2,6,42006,2.901902437210083,3.6901888847351074,106.32753372192383
latent,0.2,7,42007,2.786956548690796,3.6489171981811523,108.66546630859375
latent,0.2,8,42008,2.8527109622955322,3.66375470161438,105.76272010803223
latent,0.2,9,42009,2.832451581954956,3.6268157958984375,106.34613037109375
latent,0.5,0,42000,2.864224672317505,3.696089267730713,110.60023307800293
latent,0.5,1,42001,2.763295888900757,3.6423449516296387,109.71689224243164
latent,0.5,2,42002,2.8097357749938965,3.7404887676239014,109.89022254943848
latent,0.5,3,42003,2.7518584728240967,3.720822334289551,109.86566543579102
latent,0.5,4,42004,2.7873435020446777,3.617532730102539,110.71562767028809
latent,0.5,5,42005,2.862502098083496,3.6208016872406006,110.53347587585449
latent,0.5,6,42006,2.9189324378967285,3.6869566440582275,108.95276069641113
latent,0.5,7,42007,2.8001465797424316,3.651829719543457,107.05447196960449
latent,0.5,8,42008,2.8874776363372803,3.664628267288208,107.22661018371582
latent,0.5,9,42009,2.832528591156006,3.627842664718628,106.16183280944824
latent,1.0,0,42000,2.854496479034424,3.692477226257324,109.65752601623535
latent,1.0,1,42001,2.7561302185058594,3.642294406890869,109.14945602416992
latent,1.0,2,42002,2.783391237258911,3.739143133163452,112.03479766845703
latent,1.0,3,42003,2.771744966506958,3.7237954139709473,110.54205894470215
latent,1.0,4,42004,2.809906244277954,3.6127820014953613,111.06634140014648
latent,1.0,5,42005,2.889392137527466,3.628539800643921,110.4283332824707
latent,1.0,6,42006,3.0185301303863525,3.6782517433166504,110.98098754882812
latent,1.0,7,42007,2.7583892345428467,3.6588571071624756,108.4287166595459
latent,1.0,8,42008,2.836874008178711,3.670485496520996,108.74581336975098
latent,1.0,9,42009,2.7764065265655518,3.630244255065918,109.86852645874023
latent,2.0,0,42000,2.640923261642456,3.681962490081787,108.63828659057617
latent,2.0,1,42001,2.662574529647827,3.6466076374053955,111.64569854736328
latent,2.0,2,42002,2.630164861679077,3.740551471710205,112.84494400024414
latent,2.0,3,42003,2.646946668624878,3.732858419418335,110.70466041564941
latent,2.0,4,42004,2.700634241104126,3.6058077812194824,109.55047607421875
latent,2.0,5,42005,2.753152847290039,3.6452395915985107,108.44016075134277
latent,2.0,6,42006,2.7830617427825928,3.672698974609375,109.49420928955078
latent,2.0,7,42007,2.565643787384033,3.678781509399414,111.97447776794434
latent,2.0,8,42008,2.721275568008423,3.684697151184082,110.6255054473877
latent,2.0,9,42009,2.663315773010254,3.6319191455841064,109.47275161743164
claim,0.05,0,42000,1.7091295045901234e-10,3.4538776394910686e-08,5.826473236083984
claim,0.05,1,42001,6.058553503584521e-15,3.4538776394910686e-08,3.2188892364501953
claim,0.05,2,42002,0.6963182687759399,0.6931728779404331,2.003908157348633
