canal,entropy_level,run_idx,seed_run,jacobian_norm,output_entropy,duration_ms
text,0.1,29,42029,0.00269475020468235,10.507984161376953,19.563
text,0.1,30,42030,0.002083114581182599,10.50886344909668,19.274
text,0.1,31,42031,0.0018349912716075778,10.512274742126465,19.537
text,0.1,32,42032,0.0018246372928842902,10.506299018859863,19.326
text,0.1,33,42033,0.0015332428738474846,10.502481460571289,19.657
text,0.1,34,42034,0.0016095144674181938,10.50872802734375,21.067
text,0.1,35,42035,0.0016919219633564353,10.502443313598633,21.246
text,0.1,36,42036,0.002111596055328846,10.509421348571777,20.887
text,0.1,37,42037,0.002202685922384262,10.506200790405273,20.459
text,0.1,38,42038,0.0025900481268763542,10.510306358337402,21.104
text,0.1,39,42039,0.0016879625618457794,10.513788223266602,21.571
text,0.1,40,42040,0.0026545084547251463,10.50733470916748,20.958
text,0.1,41,42041,0.0021445222664624453,10.506070137023926,20.063
text,0.1,42,42042,0.002002337947487831,10.51220703125,19.736
text,0.1,43,42043,0.002519167959690094,10.503961563110352,20.605
text,0.1,44,42044,0.0014404578832909465,10.507404327392578,20.353
text,0.1,45,42045,0.0016116888727992773,10.509159088134766,20.368
text,0.1,46,42046,0.0017323840875178576,10.508956909179688,19.879
text,0.1,47,42047,0.0017115515656769276,10.50411605834961,20.199
text,0.1,48,42048,0.0016950515564531088,10.502762794494629,19.731
text,0.1,49,42049,0.002298889681696892,10.508170127868652,19.649
text,0.2,0,42000,0.0010206305887550116,10.701440811157227,19.816
text,0.2,1,42001,0.0011308699613437057,10.701702117919922,19.915
text,0.2,2,42002,0.0010766268242150545,10.69874382019043,19.487
text,0.2,3,42003,0.0011576414108276367,10.70179557800293,19.54
text,0.2,4,42004,0.0010689117480069399,10.699090003967285,19.449
text,0.2,5,42005,0.0010486606042832136,10.701099395751953,20.523
text,0.2,6,42006,0.001259193173609674,10.700992584228516,19.131
text,0.2,7,42007,0.0010560700902715325,10.701035499572754,19.846
text,0.2,8,42008,0.0011003412073478103,10.700521469116211,19.664
